objectid,filename,youtubeid,vimeoid,title,creator,date,classification,description,subject,location,latitude,longitude,source,identifier,type,display_template,format,language,rights,rightsstatement
almeida_a_homens,Almeida_A_Homens.pdf,,,"""Homens trans"": novos matizes na aquarela das masculinidades?",Guilherme Almeida,2012,Article,,,NA,0,0,,,Text,pdf,application/pdf,PT,,
andrade_dt_travestis,Andrade_DT_Travestis.pdf,,,Travestis na escola: assujeitamento e resistência à ordem normativa,Luma Nogueira de Andrade,2012,Thesis,,,UFC,-3.743596748,-38.57374867,,,Text,pdf,application/pdf,PT,,
araujo_dt_fecundacoes,Araujo_DT_Fecundacoes.pdf,,,Fecundações cruzadas: gêneros ameríndios e incursões antropológicas,Bru Pereira de Araujo,2019,Thesis,,,UNESP,0,0,,,Text,pdf,application/pdf,PT,,
bagagli_dt_discursos,Bagagli_DT_Discursos.pdf,,,Discursos de transfemininas e feministas radicais: disputas pela significação da mulher no feminismo,Beatriz Bagagli,2019,Thesis,,,UNICAMP,-22.81809651,-47.06452073,,,Text,pdf,application/pdf,PT,,
camargo_dt_pessoas,Camargo_DT_Pessoas.pdf,,,Pessoas trans nos esportes: os jogos da cisnormatividade,Eric Seger de Camargo,2020,Thesis,,,UFRGS,0,0,,,Text,pdf,application/pdf,PT,,
costa_a_saidas,Costa_A_Saidas.pdf,,,Saídas de Emergência: autobiografias e espiritualidades trans,Caio Jade Puosso C. Gouveia Costa,2020,Article,,,NA,0,0,,,Text,pdf,application/pdf,PT,,
costa_dt_identidade,Costa_DT_Identidade.pdf,,,Identidade racial e transexual: um olhar sobre os PNLD de sociologia,Hainra Asabi Alves Costa,2020,Thesis,,,UNESP,0,0,,,Text,pdf,application/pdf,PT,,
favero_a_etica,Favero_A_Etica.pdf,,,Por uma ética pajubariana: a potência epistemológica das travestis intelectuais,Sofia Favero,2020,Article,,,NA,0,0,,,Text,pdf,application/pdf,PT,,
grunvald_dt_existencias,Grunvald_DT_Existencias.pdf,,,"Existências, insistências e travessias: sobre algumas poéticas e políticas do travestimento",Vi Grunvald,2016,Thesis,,,USP,0,0,,,Text,pdf,application/pdf,PT,,
jesus_a_feminismos,Jesus_A_Feminismos.pdf,,,Feminismos contemporâneos e interseccionalidades,Jaqueline Gomes de Jesus,2018,Article,,,NA,0,0,,,Text,pdf,application/pdf,PT,,
jesus_dt_protesto,Jesus_DT_Protesto.pdf,,,O protesto na festa: política e carnavalização nas paradas do orgulho LGBT,Jaqueline Gomes de Jesus,2010,Thesis,,,NA,0,0,,,Text,pdf,application/pdf,PT,,
lima_dt_transitos,Lima_DT_Transitos.pdf,,,Trânsitos em texto: uma análise comparada de biografias e autobiografias de pessoas trans no Brasil e nos EUA,Lux Ferreira de Lima,2022,Thesis,,,USP,0,0,,,Text,pdf,application/pdf,PT,,
neves_dt_hospitalidade,Neves_DT_Hospitalidade.pdf,,,Transmasculinidades e o cuidado em saúde: desafios e impasses por vidas não fascistas,Benjamin Neves,2015,Thesis,,,UFRJ,0,0,,,Text,pdf,application/pdf,PT,,
oliveira_dt_somos,Oliveira_DT_Somos.pdf,,,Somos quem podemos ser: os homens (trans) brasileiros e o discurso pela (des)patologização da transexualidade,André Lucas Guerreiro Oliveira,2015,Thesis,,,UFRN,-5.838046857,-35.20230999,,,Text,pdf,application/pdf,PT,,
paiva_dt_travas,Paiva_DT_Travas.pdf,,,“As travas de Jardim são unidas”: etnografia da performance identitária das travestis em contextos rurais,Pietra Azevedo Paiva,2020,Thesis,,,UFRN,-5.838046857,-35.20230999,,,Text,pdf,application/pdf,PT,,
pinheiro_dt_linnda,Pinheiro_DT_Linnda.pdf,,,"Linn(da) que brada: Dissidências poéticas, corporalidade em movimento e estéticas insurgentes",Rafa Pinheiro,2022,Thesis,,,UNIFESP,0,0,,,Text,pdf,application/pdf,PT,,
rego_dt_combinamos,Rego_DT_Combinamos.pdf,,,"Combinamos de não morrer? Transfobia, racismo e resistência à necropolítica entre pessoas trans negras em Goiás",Yordana Lara Pereira Rego,2021,Thesis,,,UFG,0,0,,,Text,pdf,application/pdf,PT,,
reidel_dt_pedagogia,Reidel_DT_Pedagogia.pdf,,,A pedagogia do salto alto. Histórias de professoras transexuais e travestis na educação brasileira,Marina Reidel,2013,Thesis,,,UFRGS,-30.03307806,-51.21927919,,,Text,pdf,application/pdf,PT,,
reis_dt_somos,Reis_DT_Somos.pdf,,,Somos feitas de histórias: (auto)etnografia multilocal com travestis,Andreia Resende Dos Reis,2018,Thesis,,,PUCMG,0,0,,,Text,pdf,application/pdf,PT,,
rodovalho_a_cis,Rodovalho_A_Cis.pdf,,,O cis pelo trans,Amara Moira Rodovalho,2017,Article,,,NA,0,0,,,Text,pdf,application/pdf,PT,,
